ProductID,ProductName,Category,Price
1,Printer_1,Electronics,697.71
2,Camera_2,Electronics,1933.5
3,Headphones_3,Electronics,1873.48
4,Camera_4,Electronics,208.37
5,Smartphone_5,Electronics,932.84
6,Laptop_6,Electronics,1205.54
7,Camera_7,Electronics,729.65
8,Laptop_8,Electronics,1645.3
9,Tablet_9,Electronics,1777.0
10,Printer_10,Electronics,1628.1
11,Tablet_11,Electronics,1449.55
12,Headphones_12,Electronics,1213.7
13,Printer_13,Electronics,637.89
14,Tablet_14,Electronics,1930.23
15,Headphones_15,Electronics,1426.87
16,Camera_16,Electronics,1751.64
17,Headphones_17,Electronics,409.28
18,Laptop_18,Electronics,888.81
19,Printer_19,Electronics,1989.56
20,Monitor_20,Electronics,1462.12
21,Printer_21,Electronics,768.32
22,Tablet_22,Electronics,1129.71
23,Laptop_23,Electronics,1461.47
24,Tablet_24,Electronics,646.86
25,Laptop_25,Electronics,918.08
26,Monitor_26,Electronics,1677.93
27,Laptop_27,Electronics,1198.19
28,Smartphone_28,Electronics,1057.8
29,Tablet_29,Electronics,593.42
30,Camera_30,Electronics,684.34
31,Monitor_31,Electronics,1429.59
32,Smartphone_32,Electronics,1098.2
33,Smartphone_33,Electronics,622.75
34,Smartphone_34,Electronics,1770.94
35,Smartphone_35,Electronics,612.57
36,Printer_36,Electronics,649.45
37,Camera_37,Electronics,840.85
38,Printer_38,Electronics,392.04
39,Laptop_39,Electronics,1416.46
40,Monitor_40,Electronics,1086.8
41,Laptop_41,Electronics,1575.64
42,Camera_42,Electronics,1924.39
43,Printer_43,Electronics,1068.13
44,Camera_44,Electronics,767.75
45,Camera_45,Electronics,1763.78
46,Headphones_46,Electronics,529.17
47,Printer_47,Electronics,1848.81
48,Tablet_48,Electronics,916.18
49,Printer_49,Electronics,1238.0
50,Laptop_50,Electronics,1146.32
51,Headphones_51,Electronics,1060.98
52,Camera_52,Electronics,258.61
53,Tablet_53,Electronics,908.69
54,Monitor_54,Electronics,1596.63
55,Headphones_55,Electronics,1957.71
56,Monitor_56,Electronics,1132.77
57,Tablet_57,Electronics,1440.58
58,Laptop_58,Electronics,1413.39
59,Headphones_59,Electronics,1245.81
60,Tablet_60,Electronics,850.88
61,Printer_61,Electronics,667.46
62,Camera_62,Electronics,673.13
63,Tablet_63,Electronics,1048.42
64,Camera_64,Electronics,817.57
65,Smartphone_65,Electronics,1097.79
66,Smartphone_66,Electronics,954.37
67,Printer_67,Electronics,870.16
68,Printer_68,Electronics,921.07
69,Headphones_69,Electronics,523.8
70,Smartphone_70,Electronics,1962.69
71,Monitor_71,Electronics,611.42
72,Laptop_72,Electronics,1497.47
73,Printer_73,Electronics,624.45
74,Headphones_74,Electronics,1741.36
75,Smartphone_75,Electronics,462.52
76,Monitor_76,Electronics,469.19
77,Printer_77,Electronics,217.54
78,Headphones_78,Electronics,1099.28
79,Printer_79,Electronics,1335.17
80,Camera_80,Electronics,1497.01
81,Printer_81,Electronics,1075.92
82,Tablet_82,Electronics,1211.85
83,Camera_83,Electronics,285.88
84,Laptop_84,Electronics,1442.98
85,Laptop_85,Electronics,587.84
86,Tablet_86,Electronics,1057.77
87,Monitor_87,Electronics,373.34
88,Monitor_88,Electronics,802.38
89,Tablet_89,Electronics,848.55
90,Camera_90,Electronics,1877.32
91,Tablet_91,Electronics,819.45
92,Headphones_92,Electronics,418.23
93,Printer_93,Electronics,1423.25
94,Camera_94,Electronics,558.12
95,Camera_95,Electronics,1369.76
96,Camera_96,Electronics,514.17
97,Printer_97,Electronics,712.3
98,Tablet_98,Electronics,1411.75
99,Headphones_99,Electronics,1594.54
100,Headphones_100,Electronics,1801.34
101,Headphones_101,Electronics,1304.59
102,Headphones_102,Electronics,1337.08
103,Smartphone_103,Electronics,1762.86
104,Monitor_104,Electronics,1653.89
105,Tablet_105,Electronics,959.27
106,Camera_106,Electronics,1228.95
107,Printer_107,Electronics,1832.73
108,Laptop_108,Electronics,491.6
109,Smartphone_109,Electronics,764.27
110,Monitor_110,Electronics,724.44
111,Tablet_111,Electronics,1289.69
112,Headphones_112,Electronics,688.25
113,Headphones_113,Electronics,1605.75
114,Tablet_114,Electronics,1546.21
115,Camera_115,Electronics,1937.95
116,Headphones_116,Electronics,501.17
117,Printer_117,Electronics,241.58
118,Monitor_118,Electronics,622.33
119,Tablet_119,Electronics,1892.79
120,Monitor_120,Electronics,1549.53
121,Smartphone_121,Electronics,500.44
122,Laptop_122,Electronics,372.0
123,Headphones_123,Electronics,1187.18
124,Laptop_124,Electronics,1587.68
125,Camera_125,Electronics,1576.99
126,Laptop_126,Electronics,387.07
127,Camera_127,Electronics,479.49
128,Monitor_128,Electronics,1876.86
129,Headphones_129,Electronics,756.87
130,Smartphone_130,Electronics,1527.67
131,Headphones_131,Electronics,1327.67
132,Smartphone_132,Electronics,1148.14
133,Smartphone_133,Electronics,251.43
134,Monitor_134,Electronics,842.31
135,Tablet_135,Electronics,1755.63
136,Headphones_136,Electronics,1954.97
137,Camera_137,Electronics,1882.74
138,Camera_138,Electronics,1000.72
139,Monitor_139,Electronics,1170.72
140,Camera_140,Electronics,1275.65
141,Monitor_141,Electronics,1548.04
142,Camera_142,Electronics,982.96
143,Monitor_143,Electronics,1351.15
144,Tablet_144,Electronics,1836.06
145,Headphones_145,Electronics,1171.4
146,Printer_146,Electronics,361.2
147,Tablet_147,Electronics,858.41
